State,Total,Latitude,Longitude
New South Wales,987745,-33.8688,151.2093
Victoria,863132,-37.8136,144.9631
Queensland,465979,-27.4698,153.0251
South Australia,178466,-34.9285,138.6007
Western Australia,398772,-31.9505,115.8605
Tasmania,29250,-42.8821,147.3272
Northern Territory,25778,-12.4634,130.8411
Australian Capital Territory,58701,-35.282,149.1287
