SA3 Names,TotalM,Male,Female,Population,popPer10k
Whitehorse - East,12919,30431,32502,62933,2053
Yarra Ranges,8881,76764,78492,155256,572
Cardinia,14748,58360,59981,118341,1246
Casey - North,27875,68289,68997,137286,2030
Casey - South,63335,113748,114202,227950,2778
Dandenong,45297,98076,95568,193644,2339
Monash,43288,91189,91650,182839,2368
Brimbank,32562,93284,92785,186069,1750
Hobsons Bay,8620,42182,44406,86588,996
Maribyrnong,11433,42713,42498,85211,1342
Melton - Bacchus Marsh,36043,98729,99709,198438,1816
Wyndham,93615,149962,146783,296745,3155
Frankston,10167,68038,71240,139278,730
Mornington Peninsula,7647,81681,87267,168948,453
Grampians,1835,30363,29974,60337,304
Mildura,2483,28040,28932,56972,436
Murray River - Swan Hill,1292,19246,19013,38259,338
Campaspe,821,19192,19703,38895,211
Moira,620,15234,15286,30520,203
Shepparton,5722,33914,34293,68207,839
Glenelg - Southern Grampians,794,18201,18592,36793,216
Colac - Corangamite,890,19320,19176,38496,231
Warrnambool,1498,25622,27155,52777,284
Migratory - Offshore - Shipping (Vic.),0,36,6,42,0
No usual address (Vic.),444,5170,3915,9085,489
Capalaba,5966,36104,37283,73387,813
Cleveland - Stradbroke,8119,45424,47967,93391,869
Wynnum - Manly,7581,35597,37449,73046,1038
Bald Hills - Everton Park,6388,22302,23824,46126,1385
Chermside,7413,35938,38393,74331,997
Nundah,5041,21406,21562,42968,1173
Sandgate,7856,29654,31519,61173,1284
Carindale,6479,26139,28141,54280,1194
Holland Park - Yeronga,8798,39039,40355,79394,1108
Mt Gravatt,17094,38874,40497,79371,2154
Nathan,4989,19952,19954,39906,1250
Rocklea - Acacia Ridge,18899,33330,34560,67890,2784
Sunnybank,13598,25085,25103,50188,2709
Centenary,4505,16187,16827,33014,1365
Kenmore - Brookfield - Moggill,8579,23476,24257,47733,1797
Sherwood - Indooroopilly,8780,26390,27897,54287,1617
The Gap - Enoggera,5514,26584,27597,54181,1018
Brisbane Inner,13464,44130,43341,87471,1539
Brisbane Inner - East,4817,21715,22659,44374,1086
Brisbane Inner - North,11167,49065,51001,100066,1116
Brisbane Inner - West,5698,29739,30598,60337,944
Cairns - North,6311,28218,29552,57770,1092
Cairns - South,9746,52199,53288,105487,924
Innisfail - Cassowary Coast,1304,18112,17219,35331,369
Port Douglas - Daintree,779,6218,6031,12249,636
Tablelands (East) - Kuranda,1372,21254,21646,42900,320
Darling Downs (West) - Maranoa,1233,22327,21915,44242,279
Darling Downs - East,1315,21538,21321,42859,307
Granite Belt,847,20495,21025,41520,204
Central Highlands (Qld),1303,15003,13853,28856,452
Rockhampton,5228,60741,60624,121365,431
Biloela,438,7463,7051,14514,302
Gladstone,3531,32221,31301,63522,556
Broadbeach - Burleigh,5152,31846,34551,66397,776
Coolangatta,3178,27671,29843,57514,553
Gold Coast - North,7323,32868,36516,69384,1055
Gold Coast Hinterland,1249,9946,10176,20122,621
Mudgeeraba - Tallebudgera,3397,17544,18491,36035,943
Nerang,6152,34312,35372,69684,883
Ormeau - Oxenford,17174,77527,80536,158063,1087
Robina,7145,25375,28528,53903,1326
Southport,7892,31433,33053,64486,1224
Surfers Paradise,4902,22630,22568,45198,1085
Forest Lake - Oxley,15231,39963,38747,78710,1935
Ipswich Hinterland,1466,33908,33390,67298,218
Ipswich Inner,5445,56803,59110,115913,470
Springfield - Redbank,15246,51943,53256,105199,1449
Beaudesert,365,7286,7390,14676,249
Beenleigh,3114,22751,23569,46320,672
Browns Plains,11334,46159,47467,93626,1211
Jimboomba,3167,30600,31035,61635,514
Loganlea - Carbrook,6184,31325,33131,64456,959
Springwood - Kingston,11608,39486,39578,79064,1468
Bowen Basin - North,1353,19539,16279,35818,378
Mackay,6804,61201,60494,121695,559
Whitsunday,1369,11970,11419,23389,585
Bribie - Beachmere,1377,17842,19239,37081,371
Caboolture,3868,38708,41077,79785,485
Caboolture Hinterland,688,8209,6692,14901,462
Narangba - Burpengary,3723,33904,35303,69207,538
Redcliffe,3980,30395,33374,63769,624
The Hills District,7529,44566,45223,89789,839
North Lakes,13013,42722,45344,88066,1478
Strathpine,3387,19659,20186,39845,850
Far North,723,17011,15199,32210,224
Outback - North,1468,15829,14550,30379,483
Outback - South,307,8547,8691,17238,178
Buderim,5941,27803,31155,58958,1008
Caloundra,7195,45868,50442,96310,747
Maroochy,4359,30640,33031,63671,685
